index	time	position	velocity 
0	0.00	0.00		0.00 
1	0.10	0.00		0.78 
2	0.20	0.08		1.24 
3	0.30	0.20		1.60 
4	0.40	0.36		0.30 
5	0.50	0.39		-0.39 
6	0.60	0.35		-0.23 
7	0.70	0.33		-0.23 
8	0.80	0.31		0.75 
9	0.90	0.38		2.23 
10	1.00	0.60		1.96 
11	1.10	0.80		1.57 
12	1.20	0.96		1.03 
13	1.30	1.06		0.84 
14	1.40	1.15		-0.26 
15	1.50	1.12		-1.30 
16	1.60	0.99		-0.89 
17	1.70	0.90		1.09 
18	1.80	1.01		0.74 
19	1.90	1.08		0.54 
20	2.00	1.14		0.17 
21	2.10	1.16		1.21 
22	2.20	1.28		0.68 
23	2.30	1.34		0.87 
24	2.40	1.43		0.76 
25	2.50	1.51		0.78 
26	2.60	1.59		2.00 
27	2.70	1.79		2.72 
28	2.80	2.06		3.15 
29	2.90	2.37		3.21 
30	3.00	2.69		4.05 
31	3.10	3.10		3.92 
32	3.20	3.49		3.43 
33	3.30	3.83		1.81 
34	3.40	4.01		0.72 
35	3.50	4.09		-0.93 
36	3.60	3.99		-2.11 
37	3.70	3.78		-1.59 
38	3.80	3.62		-1.57 
39	3.90	3.47		-2.26 
40	4.00	3.24		-2.03 
41	4.10	3.04		-1.13 
42	4.20	2.92		-0.90 
43	4.30	2.83		0.04 
44	4.40	2.84		-0.95 
45	4.50	2.74		-2.31 
46	4.60	2.51		-2.23 
47	4.70	2.29		-1.20 
48	4.80	2.17		-0.60 
49	4.90	2.11		-0.03 
50	5.00	2.11		1.02 
51	5.10	2.21		-0.15 
52	5.20	2.19		-0.76 
53	5.30	2.12		-1.16 
54	5.40	2.00		-0.11 
55	5.50	1.99		1.16 
56	5.60	2.10		0.63 
57	5.70	2.17		0.58 
58	5.80	2.23		0.64 
59	5.90	2.29		2.00 
60	6.00	2.49		1.33 
61	6.10	2.62		1.09 
62	6.20	2.73		1.19 
63	6.30	2.85		0.65 
64	6.40	2.92		0.42 
65	6.50	2.96		-0.97 
66	6.60	2.86		-0.80 
67	6.70	2.78		-0.57 
68	6.80	2.72		-0.68 
69	6.90	2.66		-0.97 
70	7.00	2.56		-1.47 
71	7.10	2.41		-2.09 
72	7.20	2.20		-2.14 
73	7.30	1.99		-1.61 
74	7.40	1.83		-1.71 
75	7.50	1.66		-2.22 
76	7.60	1.43		-1.19 
77	7.70	1.32		-1.87 
78	7.80	1.13		-3.32 
79	7.90	0.80		-1.61 
80	8.00	0.63		-0.93 
81	8.10	0.54		-1.75 
82	8.20	0.37		-1.52 
83	8.30	0.21		-0.51 
84	8.40	0.16		-1.20 
85	8.50	0.04		-2.86 
